Run,international_trade,max_eff,eutax,neighbor_influence,tax_influence,member_trade_multiplier,tax_distribution,member_count,other_count,average_cooperativeness,other_wealth,total_wealth,member_wealth,other_eff,total_eff,member_eff,gini_coefficient,stdev_agent_cooperativeness
5380,False,0.4033203125,0.172509765625,0.04833984375,0.15048828125000002,1.505322265625,1.0841796875,1.0,319.0,-0.99375,24764.63127890137,24808.616421683422,38839.876969159,1.470177237812812,1.4736983106585186,2.596920548438883,0.19641977157270682,0.11162856937182344
5671,False,1.2626953125,0.595361328125,0.02939453125,0.08486328125,1.5923339843750002,0.8236328125000001,102.0,218.0,-0.36646911621093753,31423.341258733675,27121.01708244147,17925.85364683657,2.1541333826667035,1.62597442143113,0.4971640925158847,0.3915526566324255,0.9279950459913576
2759,False,1.5810546875,0.591943359375,0.054589843750000006,0.17294921875000002,1.2646972656250002,0.8724609375000001,47.0,273.0,-0.7063421630859374,28816.35657386516,26755.283294903114,14783.517227740618,1.8806645679804679,1.6376219207666298,0.22590611886497547,0.47567274663425946,0.7047764759390746
426,False,1.5654296875,0.534326171875,0.17080078125,0.15361328125,1.684716796875,1.1251953125,289.0,31.0,0.6703982543945336,79851957.48687734,1.0546435143029873e+28,1.1677713653181866e+28,2.1239039407982,1.838912821872015,1.8083428402570954,1.9758024595451036,0.5474772339557366
1594,False,0.2451171875,0.266748046875,0.023144531250000003,0.11376953125,1.989794921875,1.0642578125,1.0,319.0,-0.99375,25906.56087019164,25946.097946312504,38558.425228868284,1.5034495539275248,1.5050941320135176,2.02971454144523,0.14129270930843957,0.11162856937182344
5087,False,0.0517578125,0.421533203125,0.16298828125,0.01533203125,1.991943359375,1.0876953125,16.0,304.0,-0.9007186889648441,79608.71610542503,83487528980.44536,1669749067043.3013,1.50391511693524,1.5040084196609342,1.505781171449124,1.9937494967193798,0.43275799747830607
4501,False,1.8173828125,0.240869140625,0.06162109375,0.01982421875,1.175537109375,0.8513671875000001,230.0,90.0,0.43842498779296857,31044.398628878273,30597.715995627386,30422.927139137908,2.068672367865325,1.9010686233138046,1.8354845493588616,0.19557272102562884,0.8881854292612577
3341,False,1.3974609375,0.402490234375,0.17822265625,0.19228515625,1.088525390625,1.0978515625,1.0,319.0,-0.99375,26307.993307827892,26478.346400445305,80820.9829453985,1.6122006829000213,1.624449700909303,5.531886445870169,0.4950901950732083,0.11162856937182344
4217,False,1.9013671875,0.445458984375,0.18291015625,0.16572265625000002,1.192724609375,0.9634765625,302.0,18.0,0.8331222534179668,34304.564429025544,31623.456461662416,31463.655324534808,2.4646147389208632,1.9190585150626902,1.8865419189386932,0.06162467026283201,0.4369947100536741
3049,False,1.7998046875,0.533349609375,0.11962890625,0.01025390625,1.085302734375,1.1962890625,119.0,201.0,-0.25999908447265624,37167.912003764264,3.147897880566727e+42,8.464935477154223e+42,2.007601004029155,1.950019665392508,1.8527604295440536,1.9875573221172382,0.9617383999242072
3633,False,0.2607421875,0.347802734375,0.03759765625,0.07041015625000001,1.6997558593750002,0.8791015625,320.0,0.0,0.9924291992187501,0.0,33502.46440163957,33502.46440163957,0.0,1.5139456150581507,1.5139456150581507,0.0024139317803815604,0.07904375310140589
2182,False,0.2607421875,0.223779296875,0.16845703125,0.16220703125000002,1.121826171875,1.1513671875,295.0,25.0,0.700805053710934,28528.65631964883,273973518351614.5,297191613124757.4,1.3762202949803817,1.5125781078888596,1.5241338547455106,1.9608345779773386,0.4961542698443948
4798,False,0.0361328125,0.561181640625,0.17099609375000002,0.19169921875,1.071337890625,1.0408203125,1.0,319.0,-0.99375,24634.58213564741,24640.536420263557,26539.953212813696,1.499736602063014,1.49975105489578,1.504361508548125,0.040244275526020994,0.11162856937182344
2468,False,0.5771484375,0.271630859375,0.19306640625,0.02138671875,1.936083984375,0.9181640625,201.0,119.0,0.26326751708984253,24918.151848253456,30997.693726957066,34597.02449096567,1.511256497567863,1.4597852358722196,1.4293122003409682,0.18239181945616034,0.9565322445834936
1307,False,0.9013671875,0.422998046875,0.01982421875,0.19814453125,1.697607421875,0.9580078125,146.0,174.0,-0.0875,31214.755603970778,27358.332526070542,22762.321460627794,2.1100355854724984,1.5037798534206974,0.7812558987836197,0.2215300716993142,0.996164519544839
1888,False,0.9794921875,0.247216796875,0.04033203125,0.16533203125,1.895263671875,1.1486328125,1.0,319.0,-0.99375,26002.486412675225,26096.232269180164,56001.160494255804,1.5809619022491899,1.5891448837432773,4.199515980357149,0.3819332315235658,0.11162856937182344
142,False,1.251953125,0.53896484375,0.0974609375,0.1041015625,1.51767578125,1.064453125,1.0,319.0,-0.99375,47942.58041830215,57095.12213877061,2976755.9309682106,1.6234997693086666,1.6349373967801089,5.283540560170233,1.3220992762009205,0.11162856937182344
3926,False,1.7255859375,0.140771484375,0.09853515625,0.043847656250000006,1.450537109375,0.8927734375,296.0,24.0,0.8390380859375004,34439.67997909767,34294.986287009975,34283.25436602989,2.440028874536609,1.9029879349018448,1.8594440749314585,0.08239046756743336,0.5178329659758817
6251,False,1.8876953125,0.504541015625,0.11533203125,0.02685546875,1.135791015625,0.8560546875,207.0,113.0,0.29149383544921875,30076.727806612293,29106.93612053054,28577.532929577697,1.9738447432117103,1.7968952755751144,1.7002996724691466,0.22215390409131316,0.9441336213286827
723,False,1.5498046875,0.237451171875,0.15966796875,0.18330078125,1.899560546875,0.9658203125,171.0,149.0,0.06951690673828125,39475.30425494636,32924.88095251857,27217.202168531796,2.8333928569751996,1.7883162557731211,0.8776939541409006,0.252198377959465,0.9969061103752196
1013,False,1.3310546875,0.292138671875,0.19111328125,0.10517578125,1.331298828125,1.0595703125,187.0,133.0,0.11254669189453137,27835.559543679512,408478110.8523005,698980178.3065072,1.672365793590256,1.6627667527439,1.6559396274360643,1.9372355610629208,0.9385296227458603
5959,False,0.7470703125,0.443017578125,0.01220703125,0.13017578125,1.446240234375,1.1392578125,1.0,319.0,-0.99375,25331.99897705982,25429.44650357044,56515.207460459016,1.553850499276096,1.5613985893742908,3.9692393306984015,0.31285136471423347,0.11162856937182344
5672,False,1.7470703125,0.352197265625,0.13271484375,0.03466796875,1.213134765625,1.1904296875,121.0,199.0,-0.25664215087890624,28814.27267358254,1.0021038365795306e+28,2.6501919645078493e+28,1.7957144048234137,1.832778087407552,1.8937340612442761,1.992097617208553,0.9533086852212281
2760,False,1.0615234375,0.588037109375,0.11025390625,0.07587890625,1.3774902343750002,0.8775390625,286.0,34.0,0.7690371704101557,25617.39054648898,30185.10512686974,30728.12014691501,1.6106323626913404,1.6258118683946983,1.6276164250167757,0.05927455598426093,0.5931417793223873
